창원의창구,창원성산구,창원마산합포구,창원마산회원구,창원진해구,진주시,통영시,사천시,김해시,밀양시,거제시,양산시,의령군,함안군,창녕군,고성군,남해군,하동군,산청군,함양군,거창군,합천군
,,,,,1 ,,,1 ,,1 ,,,,,,,,,,,
,,,,,,,,1 ,,,,,,,,,,,,,
,,1 ,,,1 ,,,,,1 ,,,,,,,,,,,
,1 ,,,,,,,3 ,,3 ,,,,,,,,,,,
,,,,1 ,,,,,,5 ,,,,,,,,,,,
1 ,1 ,,,,1 ,,,1 ,,2 ,,,,,,,,,,,
1 ,2 ,,,,,,,4 ,1 ,3 ,3 ,,,,,,,,,,
,,,,,,,,,,3 ,,,,,,,,,,,
,1 ,,1 ,,,,1 ,1 ,,3 ,1 ,,,,,,,,,,
,,,,,1 ,,5 ,2 ,,1 ,1 ,,,,,,,,,,
