목포시,여수시,순천시,나주시,광양시,담양군,곡성군,구례군,고흥군,보성군,화순군,장흥군,강진군,해남군,영암군,무안군,함평군,영광군,장성군,완도군,진도군,신안군
1 ,,,,1 ,,,,,,,,,,,,,,,,,
,,,,4 ,,,,,,,,,,,1 ,,,,,,
,,,,2 ,,,,,,,,,,,,,,,,,
,,,,1 ,,,,,,,,,,,1 ,,,,,,
,,1 ,,3 ,,,,,,,,,,,,,,,,,
,,,,2 ,,,,,,,,,,,1 ,,,,,,
,1 ,,,8 ,,,,,,,,,,,2 ,,,,,,
,,,1 ,10 ,,,,,,,,,,,1 ,,,,,,
,2 ,2 ,2 ,5 ,,,,,,,,,,,1 ,,,,,,
,,1 ,1 ,5 ,,,,,,,,,,,,,,,,,
