중구,서구,동구,영도구,부산진구,동래구,남구,북구,해운대구,사하구,금정구,강서구,연제구,수영구,사상구,기장군
1 ,,,1 ,2 ,,,,1 ,1 ,,,,,,
,1 ,,,2 ,1 ,1 ,,2 ,,2 ,,1 ,1 ,,
,,1 ,3 ,3 ,,2 ,4 ,1 ,2 ,2 ,,,2 ,,
,,1 ,1 ,6 ,,,2 ,2 ,2 ,1 ,,1 ,,,2 
,,2 ,3 ,4 ,2 ,3 ,7 ,1 ,1 ,3 ,,1 ,,,
1 ,2 ,,2 ,4 ,3 ,4 ,10 ,1 ,1 ,1 ,,1 ,,1 ,1 
1 ,,,,3 ,,2 ,2 ,2 ,3 ,7 ,1 ,2 ,2 ,1 ,1 
,,,1 ,3 ,1 ,1 ,1 ,1 ,2 ,3 ,1 ,2 ,1 ,2 ,
3 ,,,,6 ,3 ,2 ,1 ,2 ,5 ,5 ,1 ,1 ,1 ,3 ,
,2 ,1 ,1 ,4 ,1 ,2 ,2 ,1 ,2 ,2 ,2 ,1 ,,3 ,1 
