중구,동구,서구,남구,북구,수성구,달서구,달성군,군위군
,,,,,,1 ,,
,,,,2 ,,1 ,,
,,,,2 ,,,,
,,,,1 ,3 ,5 ,,
,1 ,,1 ,2 ,,3 ,3 ,
,3 ,,,1 ,4 ,3 ,1 ,
,4 ,,,2 ,3 ,5 ,1 ,
,2 ,1 ,1 ,,1 ,1 ,1 ,
,3 ,1 ,,2 ,5 ,3 ,5 ,
1 ,3 ,,,3 ,6 ,4 ,,
