吝备,巢备,悼备,合备,匡林焙
25.5,39.5,31.6,38.2,39.7
34.4,39.1,31.1,37.8,31.4
32.9,33.3,33.3,40.8,31.3
38.1,44.9,35.8,33.9,34.5
39.6,36.8,36.1,33.3,27.8
34,40,32.6,40.7,31
27.3,36.7,26,46.3,32.5
24.4,40.6,31.6,44.2,36.3
31.4,27,31.8,39.5,36.1
33.3,28,38,40,34.1
