悼备,辑备,巢备,合备,堡魂备
32.1,35.7,45.6,44.1,58.7
32.4,36.4,40.6,49.1,55.8
31.4,40,58.1,34.7,36.4
12.5,38.9,40,26.4,36.6
18.8,28.2,40,28.3,32.7
15.6,34.7,44.1,31.9,30.2
47.6,34.9,25.8,40.9,22.8
48.7,50,25.7,39.7,31.7
39.5,28.6,21.4,38.9,42.2
57.7,23.7,32.6,33.3,43.5
