悼备,吝备,辑备,蜡己备,措傣备
45.8,29,36.4,25,41.7
40.9,35.5,30.4,9.1,37.5
45.8,52.2,25.7,19.4,45.7
36,40,24,21.2,51.4
35.7,36.8,26.5,27.3,52.9
37.9,32,28.2,33.3,42.9
41.7,36.7,32.4,33.3,42.3
40,46.5,34.4,42.6,37
40,43.2,36.8,30.8,46.9
41.7,41.2,38,31.9,40
