전국,수도권,지방
35,32.3,36.9
32.7,28.2,35.8
30,24.5,34.3
27.5,22.2,31.9
25.1,20.3,29.4
25.1,20.6,28.9
25.6,21.5,29
26.4,21.3,31
26.3,20.7,31.8
25.5,19.7,31.3
