悼备,吝备,辑备,蜡己备,措傣备
24,31,22,12,24
22,31,23,22,24
24,46,35,31,35
25,50,50,33,35
28,57,68,33,34
29,50,71,36,28
36,60,68,42,26
40,71,64,47,27
35,81,68,52,32
36,97,79,69,40
