청주상당구,청주서원구,청주흥덕구,청주청원구,충주시,제천시,보은군,옥천군,영동군,증평군,진천군,괴산군,음성군,단양군
36,79,39,104,39,46,10,13,158,8,8,12,43,4
44,80,41,101,42,39,9,13,158,3,23,12,47,3
45,77,33,99,58,53,8,11,94,3,25,11,69,5
43,85,32,115,54,39,4,7,82,2,34,12,65,4
38,98,36,153,45,41,1,6,59,1,25,11,52,4
33,102,45,169,39,33,3,10,71,1,26,12,43,3
22,78,45,147,45,32,3,11,42,3,15,14,34,4
21,88,49,137,66,32,5,12,45,5,15,18,36,2
25,102,43,148,72,32,6,11,35,5,14,21,25,2
34,124,47,162,76,38,10,11,33,4,13,24,28,2
