전국,수도권,지방
10526,4248,6278
10784,4477,6307
11356,4932,6424
12075,5493,6582
12705,5971,6734
12942,5966,6976
12590,5775,6815
13755,6508,7247
14931,7424,7507
16387,8138,8249
