중구,동구,서구,남구,북구,수성구,달서구,달성군,군위군
5,52,19,26,77,35,47,69,2
7,58,17,28,86,31,57,36,2
8,57,17,26,82,31,72,27,1
7,43,23,22,81,38,74,25,1
12,40,28,21,78,41,76,37,
21,45,31,18,82,46,72,47,
32,64,31,19,85,52,62,51,
34,81,28,19,91,65,45,43,
37,93,27,26,96,70,42,42,
32,91,27,29,99,81,61,47,1
