悼备,辑备,巢备,合备,堡魂备
74.3,71.8,72,80.5,75
73.3,71.2,72,80.6,75
73.1,70.9,71.8,80.6,75.4
73.2,71.1,72.1,80.6,75.9
72.1,70.8,71.2,80.7,75.3
71,70.5,71.3,80.1,74.9
71.3,69.6,70.3,79.2,74.2
71.2,69.5,70.3,78.7,73.7
71.8,69.4,70.5,78.4,73
71.2,69.6,69.3,77.9,72.3
