전국,수도권,지방
72.3,66.6,77.5
73.3,68.2,77.9
73.6,68.6,77.9
73.7,68.9,77.9
73.6,68.7,77.7
73.6,69,77.6
73.5,69.1,77.3
73.3,69,77.1
73,68.7,76.9
72.3,68,76.2
