중구,동구,서구,남구,북구,수성구,달서구,달성군,군위군
70.6,75.8,61.5,70,79.8,67.8,77.2,76.9,
73,76.4,62.6,69.8,80.5,69.5,77.3,77.3,
70.9,75.7,61.7,69,78.7,69.3,75.7,76.4,
72.5,75.9,61.1,68.2,79.3,69.1,75.5,76.1,
71.8,75.3,61.4,68.8,79.6,67.6,74,75.1,
71.2,75,63.9,71.3,79.2,68,73.3,75,
73.8,74.6,65.4,72.2,79.9,69.1,72.9,75.8,
70.6,74.8,64.2,72,80.1,68.9,72.6,76.5,
71.2,75,62.3,67.9,80.3,69.2,72,75.4,
70.7,74.1,62.1,69.6,78.8,69,70.3,74.5,
