중구,동구,서구,남구,북구,수성구,달서구,달성군,군위군
,,,,,,2 ,,
,,,,3 ,,1 ,,
,,,,3 ,,,,
,,,,3 ,3 ,9 ,,
,3 ,,8 ,4 ,,6 ,7 ,
,5 ,,,3 ,5 ,3 ,3 ,
,7 ,,,4 ,4 ,9 ,3 ,
,5 ,5 ,7 ,,1 ,1 ,2 ,
,4 ,4 ,,3 ,4 ,4 ,10 ,
7 ,9 ,,,7 ,12 ,6 ,,
