吝备,巢备,悼备,合备,匡林焙
4 ,2 ,,,
1 ,,,,
3 ,2 ,4 ,,
4 ,1 ,,,
,2 ,,5 ,
4 ,5 ,,8 ,3 
,4 ,,2 ,
,1 ,6 ,,3 
,1 ,,,
,3 ,,2 ,
