전주완산구,전주덕진구,군산시,익산시,정읍시,남원시,김제시,완주군,진안군,무주군,장수군,임실군,순창군,고창군,부안군
1 ,,,,,,,26 ,,,,,,,
,,,,,,,,,,,,,,
1 ,,,,,,,,,,,,,,
,2 ,,13 ,,,,,,,,,,,
4 ,,,,,,,,,,,,,,
1 ,5 ,,,,,,,,,,,,,
2 ,2 ,4 ,,,,,25 ,,,,,,92 ,
,3 ,,3 ,,,,,,,,,,,
2 ,3 ,5 ,,,,,8 ,,,,,,,
3 ,1 ,9 ,,,,,20 ,,,,,,,
