悼备,吝备,辑备,蜡己备,措傣备
7 ,,4 ,,
,,,,
,,,,
2 ,,,1 ,
,,,,
,,3 ,3 ,
,,0 ,3 ,
,,2 ,2 ,
6 ,4 ,4 ,4 ,6 
,,4 ,5 ,
