전국,수도권,지방
4 ,4 ,1 
3 ,3 ,1 
5 ,6 ,2 
5 ,6 ,2 
5 ,6 ,2 
6 ,7 ,3 
7 ,8 ,3 
7 ,8 ,2 
6 ,7 ,3 
7 ,8 ,3 
