중구,서구,동구,영도구,부산진구,동래구,남구,북구,해운대구,사하구,금정구,강서구,연제구,수영구,사상구,기장군
25 ,,,6 ,1 ,,,,0 ,1 ,,,,,,
,3 ,,,1 ,3 ,1 ,,1 ,,5 ,,1 ,3 ,,
,,4 ,26 ,3 ,,3 ,7 ,1 ,5 ,5 ,,,3 ,,
,,8 ,2 ,5 ,,,2 ,1 ,3 ,2 ,,2 ,,,5 
,,8 ,29 ,2 ,3 ,3 ,7 ,1 ,1 ,6 ,,1 ,,,
19 ,19 ,,17 ,3 ,5 ,5 ,11 ,1 ,1 ,2 ,,2 ,,2 ,2 
14 ,,,,2 ,,3 ,3 ,1 ,5 ,10 ,1 ,2 ,1 ,2 ,1 
,,,4 ,3 ,2 ,1 ,1 ,1 ,2 ,5 ,1 ,3 ,2 ,4 ,
28 ,,,,5 ,5 ,2 ,1 ,2 ,5 ,9 ,3 ,1 ,1 ,4 ,
,11 ,3 ,8 ,3 ,1 ,3 ,3 ,1 ,3 ,2 ,2 ,1 ,,5 ,2 
