吝备,巢备,悼备,合备,匡林焙
13 ,17 ,25 ,21 ,31 
21 ,18 ,23 ,17 ,22 
23 ,18 ,29 ,20 ,26 
24 ,22 ,34 ,19 ,29 
19 ,14 ,35 ,20 ,22 
17 ,14 ,31 ,24 ,27 
12 ,11 ,20 ,19 ,25 
10 ,13 ,25 ,19 ,29 
11 ,10 ,21 ,15 ,26 
11 ,14 ,27 ,18 ,29 
