悼备,吝备,辑备,蜡己备,措傣备
11 ,9 ,8 ,3 ,10 
9 ,11 ,7 ,2 ,9 
11 ,24 ,9 ,6 ,16 
9 ,20 ,12 ,7 ,18 
10 ,21 ,18 ,9 ,18 
11 ,16 ,20 ,12 ,12 
15 ,22 ,22 ,14 ,11 
16 ,33 ,22 ,20 ,10 
14 ,35 ,25 ,16 ,15 
15 ,40 ,30 ,22 ,16 
