전국,수도권,지방
3688 ,1371 ,2317 
3523 ,1263 ,2260 
3408 ,1206 ,2202 
3321 ,1220 ,2101 
3193 ,1211 ,1982 
3246 ,1230 ,2016 
3218 ,1239 ,1979 
3635 ,1388 ,2247 
3928 ,1539 ,2389 
4178 ,1600 ,2578 
