중구,동구,서구,남구,북구,수성구,달서구,달성군,군위군
3 ,23 ,7 ,10 ,27 ,12 ,16 ,22 ,2 
3 ,25 ,7 ,13 ,34 ,11 ,16 ,16 ,2 
3 ,28 ,5 ,10 ,30 ,9 ,20 ,13 ,1 
1 ,18 ,5 ,8 ,29 ,13 ,24 ,8 ,1 
2 ,13 ,7 ,5 ,24 ,15 ,18 ,10 ,
3 ,14 ,6 ,6 ,25 ,16 ,17 ,15 ,
4 ,17 ,9 ,8 ,30 ,12 ,20 ,21 ,
4 ,23 ,8 ,7 ,31 ,17 ,16 ,17 ,
11 ,27 ,10 ,9 ,35 ,25 ,15 ,16 ,
14 ,28 ,8 ,6 ,35 ,25 ,15 ,15 ,
