전국,수도권,지방
80.1,80.8,74.8
81,81.6,76.1
81.9,82.6,76.7
82.2,82.9,77.2
82.4,83.1,77.2
82.4,83.1,76.8
82.1,82.9,76.1
81.8,82.6,76.2
81.2,82,75.6
80.3,81.1,75.3
