중구,동구,서구,남구,북구,수성구,달서구,달성군,군위군
,76.6,84.5,94,79.5,57.5,85.7,,
,76.9,87.3,98,81.8,56.2,84.1,,
,78.6,86.1,95.2,81,57.4,90.9,,
,79,75.7,94.3,81.2,58.6,84.5,,
,80.5,83.7,96.1,78.7,60.8,76,,
,79.5,82.5,94.5,79,57.2,76.3,,
,82.8,74.1,84.2,78.5,60.5,72.6,,
,86.6,71.7,84.6,77.4,61.2,65,,
,83.3,71.6,78.5,73.1,64.3,63.6,,
87.4,74.1,72.9,64.1,72.9,67.2,54.3,,
