悼备,辑备,巢备,合备,堡魂备
83.6,73.8,75.6,75.3,74.1
82.7,81.2,78.5,68.5,75
84.3,81.9,77.6,68.3,75.2
85.6,81.4,72.3,65.6,75.2
88.9,78.2,73.2,70.6,73.4
90.3,78.4,74.2,73.5,73.7
91.1,79.5,89.2,72.2,75.4
92.2,82.2,93.6,77.2,72.7
88.1,88.6,94.5,76.3,70.8
73.6,93.2,96.9,66.5,70.1
