悼备,吝备,辑备,蜡己备,措傣备
93.9,79.4,71.2,69.6,82.4
94.6,84.5,72.5,73.4,85.4
94,81.4,76.4,71,85.9
93.9,83.4,75.1,75.3,84.4
94.1,82.7,76,70.9,84.4
91.4,80.2,74.3,72.1,86.7
84.6,81.1,73.1,78.2,89.4
87.1,80.5,74.8,72.6,94.7
88,81,73.5,70.2,95.7
88.6,82.5,75.3,66.3,93.2
