전주완산구,전주덕진구,군산시,익산시,정읍시,남원시,김제시,완주군,진안군,무주군,장수군,임실군,순창군,고창군,부안군
76,91,79.5,76.3,,86.1,69.9,,95.3,,,,,66.8,47.8
84.6,87.9,90.8,77.1,,89.9,63.2,,,,,,,65.2,58.1
83.5,93.6,84.4,82.7,,88.3,72.4,,,,,,,65.1,81.5
82.2,96.4,81.7,90.1,,89.2,,,,,,,,65.1,81.5
81.5,96.7,80.8,89.7,,90.3,76.4,,,,,,,65.2,81.2
76.5,96.2,84.2,86.3,,92.3,76.4,,,,,,,66.9,81.3
72.4,90.2,87.5,84.1,,94,,,,,,,,,90.8
73.4,91.9,80.6,82.9,,93.5,,,,,,,,,87.6
73,81.6,75.2,91.1,,95.1,,,,,,,,,92.8
72.2,80.1,76.9,90.2,,95.3,,,,,,,,82.6,52
