吝备,巢备,悼备,合备,匡林焙
78.4,75.3,91,84.8,88
79.2,75.5,89.6,86.2,75.7
83.1,77.2,92.9,86.8,77.9
81.9,81.4,93,85.1,74.3
75.7,81.8,93.4,81.8,73.1
77.7,78.2,100,78.8,69.8
74.3,78.9,89.3,78.8,58.5
75.9,74.9,88.3,79.2,57.3
74.4,73.2,80.1,81.4,59.3
71.7,66.4,78.3,81.4,57.5
