,갱신요구권사용,건축년도,계약구분,계약기간,년,단지,법정동,보증금,시군구,월,월세,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
8,,2006,,,2016,(340-73),신당동,"14,000",중구,2,0,13,33.23,,,340-73,11140,8
9,,2015,,,2016,승리빌딩,신당동,"10,000",중구,2,0,13,17.52,,,309-45,11140,5
10,,2004,,,2016,JK오피스텔,신당동,"3,000",중구,2,45,15,22.75,,,353-22,11140,2
11,,2016,,,2016,신당역솔하임,신당동,"5,000",중구,2,50,16,18.8,,,140-23,11140,10
12,,2016,,,2016,신당역솔하임,신당동,"2,000",중구,2,80,19,26.72,,,140-23,11140,8
13,,2016,,,2016,신당역솔하임,신당동,"14,000",중구,2,0,19,18.6,,,140-23,11140,3
14,,2014,,,2016,신당아르브,신당동,"3,000",중구,2,55,21,21.31,,,160-5,11140,17
15,,2016,,,2016,신당역솔하임,신당동,"13,000",중구,2,0,21,18.8,,,140-23,11140,3
16,,2016,,,2016,신당역솔하임,신당동,"3,000",중구,2,60,22,18.8,,,140-23,11140,4
17,,2004,,,2016,JK오피스텔,신당동,"6,000",중구,2,20,22,22.75,,,353-22,11140,5
18,,2003,,,2016,(340-123),신당동,"12,000",중구,2,0,22,22.08,,,340-123,11140,2
19,,2006,,,2016,(340-73),신당동,"5,000",중구,2,50,23,35.6,,,340-73,11140,7
20,,2006,,,2016,(340-73),신당동,"15,000",중구,2,0,23,41.7,,,340-73,11140,7
21,,2004,,,2016,JK오피스텔,신당동,"8,500",중구,2,0,24,22.75,,,353-22,11140,3
22,,2014,,,2016,신당아르브,신당동,"15,000",중구,2,0,25,21.31,,,160-5,11140,11
23,,2016,,,2016,신당역솔하임,신당동,"15,000",중구,2,0,25,20.69,,,140-23,11140,11
24,,2016,,,2016,신당역솔하임,신당동,"1,000",중구,2,65,26,18.8,,,140-23,11140,3
25,,2015,,,2016,남산더힐B동,신당동,"22,000",중구,2,0,26,34.71,,,420-23,11140,7
26,,2016,,,2016,신당역솔하임,신당동,"1,000",중구,2,65,27,18.8,,,140-23,11140,9
27,,2014,,,2016,동대문 와이즈 캐슬,흥인동,"1,000",중구,2,60,3,19.92,,,119,11140,4
