吝备,巢备,悼备,合备,匡林焙
76.8,78,83.4,81.6,84.2
76.3,80.2,81.7,83.2,83.3
80.4,80.4,79.6,81.4,81.6
80,79.1,81.6,80.7,81.5
76.6,76.1,82.3,79,79
73.2,72.8,77.4,76.8,80.7
73.3,72.4,77.2,71.8,80.3
69.8,70.7,73.1,70.2,79.8
68.3,70.1,72.8,69.7,78.4
68.5,68.9,71.5,69,76.9
