전국,수도권,지방
74.7,69.4,78.4
75.2,70.4,78.5
75.4,70.6,78.5
74.7,70,77.8
73.6,68.7,77
72.5,67.7,76.3
70.3,65,74.9
67.5,61.9,73.1
66.1,60.6,72
65.4,59.8,71.6
