悼备,吝备,辑备,蜡己备,措傣备
70.4,71.3,74.6,73.3,73.5
70.2,74,75.9,74.4,73.6
73.9,75.5,75.6,76,72.5
74.3,75.8,75.8,73.1,73.6
73.7,71.3,73.9,73.5,74
73.9,73.6,73.3,73.9,75.5
73.9,72.4,72.9,72.1,73.3
71.7,70.6,70.6,70.1,70.9
71.8,68.7,68.5,65.8,70.9
70.9,69.8,69.6,65.9,68.9
