중구,동구,미추홀구,연수구,남동구,부평구,계양구,서구,강화군,옹진군
60.5,76.2,85,64.4,76,76.8,69.9,72.1,,
65.5,78.2,82.7,62.5,75.4,74.2,73.9,72,,
66.7,76.1,81.1,66,74.2,76.7,74,72.1,,
66.7,79.5,82.8,65.2,73.8,75.6,73.9,69.2,,
66.6,80.6,80.7,63.2,73,75.4,74.2,64.7,,
64.4,74.7,76.2,62.4,72.2,73.3,76.2,64.8,80.3,
62.4,73,74.3,58.9,71.4,71,72.4,63.7,77.2,
63.4,75.8,72.9,55.3,66.8,69.4,68.2,61.6,70,
63.9,75.4,70.7,54.4,65.7,67.8,66.5,60.7,,
63.9,76,70.8,53.9,65.3,67.1,67.1,62,74.2,
