悼备,辑备,巢备,合备,堡魂备
69.3,69.7,74,79.4,72
63.8,71.6,73.1,80.8,73.4
62.3,72.4,70.5,82,73.4
61.5,73.1,70.6,81.3,73.6
64.8,72.6,69.1,82.5,72.5
69.2,71.3,66.9,80.2,71.8
70.8,70.9,65.6,76.5,69.8
63.8,69.4,67.1,77.3,68.1
65.8,69.7,64.9,76.7,69.8
67.5,69.6,63.8,76.3,68.9
