중구,동구,서구,남구,북구,수성구,달서구,달성군,군위군
69.9,78,67.8,71.2,83.5,67.5,72.4,75.7,
72.4,75.9,64.7,71.5,83.5,69.3,72.5,74.5,
70.8,75.9,67.5,65.1,81.9,69.9,73.2,74.9,
70.9,73.1,69.3,64.8,81.3,69,69.7,71.3,
62.3,71.6,63.2,60.6,79.2,63.5,65.1,68.6,
63.2,71.3,63.4,64.3,77.2,64,65.8,70,
70.1,70.7,66.9,69.1,77.7,65.4,66.5,69.9,
66.3,73.3,61.2,69.4,76.7,62.5,67.4,69.6,
65.8,72.3,59.2,65.6,75.1,60.1,67.1,68.4,
64.3,69.9,57.1,68.3,74.3,58.7,66.8,67.3,
