전주완산구,전주덕진구,군산시,익산시,정읍시,남원시,김제시,완주군,진안군,무주군,장수군,임실군,순창군,고창군,부안군
110000000 ,,,,,,,120000000 ,,,,,,,
,,,,,,,,,,,,,,
90000000 ,,,,,,,,,,,,,,
,240000000 ,,291000000 ,,,,,,,,,,,
415000000 ,,,,,,,,,,,,,,
100000000 ,815000000 ,,,,,,,,,,,,,
162000000 ,285000000 ,200000000 ,,,,,285000000 ,,,,,,165000000 ,
,640000000 ,,127000000 ,,,,,,,,,,,
325000000 ,610000000 ,450000000 ,,,,,90000000 ,,,,,,165000000 ,
340000000 ,130000000 ,571000000 ,,,,,220000000 ,,,,,,,
