전국,수도권,지방
108923378691 ,103390900000 ,5532478691 
109807279119 ,104145500000 ,5661779119 
152624555000 ,143520460000 ,9104095000 
190308200000 ,176992700000 ,13315500000 
183075700000 ,169036700000 ,14039000000 
223222400000 ,200585900000 ,22636500000 
254222550000 ,228259550000 ,25963000000 
319937020650 ,301164520650 ,18772500000 
285675080000 ,253896530000 ,31778550000 
325170690000 ,294648540000 ,30522150000 
