吝备,巢备,悼备,合备,匡林焙
82 ,87 ,74 ,80 ,87 
72 ,76 ,73 ,84 ,84 
76 ,75 ,74 ,87 ,76 
68 ,76 ,70 ,84 ,69 
70 ,80 ,68 ,83 ,71 
61 ,77 ,67 ,74 ,72 
72 ,71 ,68 ,69 ,67 
70 ,73 ,65 ,66 ,66 
65 ,79 ,66 ,71 ,66 
63 ,77 ,65 ,69 ,75 
