중구,동구,서구,남구,북구,수성구,달서구,달성군,군위군
94 ,82 ,73 ,90 ,84 ,77 ,80 ,74 ,99 
98 ,81 ,76 ,87 ,82 ,76 ,78 ,71 ,134 
73 ,78 ,78 ,81 ,82 ,74 ,75 ,76 ,135 
70 ,77 ,71 ,75 ,79 ,78 ,72 ,82 ,135 
60 ,80 ,74 ,68 ,76 ,78 ,72 ,72 ,
67 ,83 ,69 ,65 ,72 ,74 ,68 ,73 ,
69 ,75 ,73 ,65 ,71 ,71 ,65 ,59 ,
80 ,74 ,72 ,66 ,71 ,67 ,62 ,56 ,
61 ,71 ,68 ,71 ,72 ,69 ,67 ,57 ,
65 ,73 ,60 ,70 ,74 ,70 ,74 ,66 ,
