중구,동구,미추홀구,연수구,남동구,부평구,계양구,서구,강화군,옹진군
90 ,83 ,80 ,85 ,82 ,88 ,92 ,77 ,78 ,59 
87 ,79 ,79 ,83 ,80 ,82 ,90 ,77 ,80 ,64 
81 ,90 ,72 ,78 ,75 ,80 ,84 ,74 ,82 ,81 
75 ,90 ,72 ,74 ,72 ,72 ,81 ,75 ,87 ,74 
75 ,98 ,67 ,70 ,70 ,71 ,78 ,71 ,92 ,74 
74 ,83 ,67 ,74 ,66 ,70 ,76 ,71 ,74 ,75 
76 ,69 ,67 ,74 ,64 ,70 ,73 ,71 ,73 ,75 
73 ,69 ,64 ,74 ,66 ,70 ,76 ,72 ,67 ,72 
77 ,59 ,68 ,71 ,67 ,68 ,73 ,72 ,46 ,64 
72 ,71 ,65 ,71 ,70 ,68 ,72 ,71 ,58 ,68 
