悼备,辑备,巢备,合备,堡魂备
81 ,91 ,89 ,81 ,86 
79 ,86 ,87 ,83 ,86 
81 ,74 ,86 ,91 ,94 
74 ,79 ,85 ,84 ,78 
71 ,83 ,80 ,73 ,78 
72 ,81 ,81 ,76 ,78 
75 ,79 ,76 ,75 ,77 
71 ,78 ,75 ,76 ,74 
72 ,78 ,73 ,77 ,73 
71 ,76 ,80 ,73 ,75 
