전국,수도권,지방
83 ,85 ,80 
80 ,83 ,78 
78 ,80 ,76 
76 ,78 ,74 
75 ,77 ,73 
73 ,75 ,72 
72 ,73 ,71 
72 ,73 ,70 
72 ,72 ,71 
72 ,72 ,71 
