悼备,吝备,辑备,蜡己备,措傣备
76 ,80 ,94 ,78 ,79 
69 ,80 ,78 ,63 ,80 
70 ,82 ,80 ,62 ,79 
73 ,84 ,79 ,61 ,77 
71 ,80 ,76 ,63 ,79 
67 ,70 ,76 ,69 ,80 
72 ,71 ,76 ,75 ,81 
73 ,78 ,77 ,75 ,79 
75 ,77 ,75 ,77 ,78 
77 ,76 ,76 ,74 ,78 
