중구,동구,미추홀구,연수구,남동구,부평구,계양구,서구,강화군,옹진군
76.1,,93.3,84.9,89,81.6,86.4,90.2,,
81.3,,91.8,76,88.4,80.8,87.6,89.7,,
74.7,,89.3,78.9,92.1,85.9,91.3,88.6,,
74.8,,89.7,78.7,92.5,84.4,87.4,86.9,92.1,
72.5,,92.8,,88.7,84,87.2,86.4,79.2,
68.4,,97,,89.7,90.8,81.8,83.4,,
67.6,,96.9,,97.1,83.4,74.3,85.7,,
74.5,,89.9,,88.9,85.6,78.4,81.3,,
73.5,,87.3,,90.7,84.4,91,83.9,93.9,
75.9,,87.8,68,82.4,76.4,86,84.1,96.2,
