전국,수도권,지방
83.1,83.7,78.4
83.4,83.8,80.5
82.2,82.7,78.9
82,82.6,78.2
81.7,82.2,78.7
80.7,81.3,78.2
79.6,80.2,76.8
77.1,77.4,75.8
75.9,76,75.2
74.7,74.8,73.9
